QUESTION	ANSWER
Apa itu pelayanan walk-in?	Layanan pembuatan paspor tanpa aplikasi untuk kondisi tertentu sesuai SOP.
Siapa yang termasuk pemohon prioritas?	Pemohon tertentu sesuai ketentuan SOP.
Apa yang terjadi jika billing tidak dibayar?	Permohonan kadaluarsa dan harus mengajukan ulang.
Apakah bisa reschedule jadwal?	Bisa 1 kali maksimal H-1 kedatangan.
Apa itu endorsement (penambahan nama)?	Penambahan nama pada paspor untuk keperluan seperti haji/umroh.
Nama apa yang ditambahkan dalam endorsement?	Nama ayah (orang tua laki-laki).
Apakah ada biaya endorsement?	Tidak ada biaya tambahan.
Apa syarat endorsement?	Dokumen pendukung seperti surat travel atau bukti pelunasan haji (BPIH).
Berapa lama paspor selesai?	Sekitar 3 hari setelah permohonan.
Siapa yang boleh mengambil paspor?	Pemohon; keluarga satu KK; atau orang lain dengan surat kuasa.
Apa itu TPPO?	Tindak Pidana Perdagangan Orang yang dicegah melalui kebijakan imigrasi.
Untuk layanan Paspor Anak, silakan siapkan dokumen berikut (Asli & Fotokopi A4):	Catatan Penting: Apabila saat pemeriksaan di loket ditemukan perbedaan data antara KTP dan Paspor Lama, petugas berhak meminta dokumen tambahan. Disarankan tetap membawa dokumen lengkap untuk berjaga-jaga.) KTP-el Kedua Orang Tua Kartu Keluarga Akta Kelahiran Anak Buku Nikah Orang Tua Paspor Lama Anak (Jika ada)
Jika nama, tempat lahir, atau tanggal lahir pada KTP, KK, dan Akta/Ijazah Anda tidak sama (meskipun hanya beda satu huruf atau spasi), harap perhatikan ketentuan berikut:	Data yang Benar: Tentukan dokumen mana yang datanya paling benar dan ingin digunakan di paspor.  Surat Keterangan: Anda WAJIB membawa Surat Keterangan dari instansi terkait (misal: Disdukcapil untuk beda nama di KTP/KK, atau Sekolah/Kampus untuk beda nama di Ijazah).  Penetapan Pengadilan: Jika perbedaan data sangat signifikan (ganti nama total), Anda wajib membawa Salinan Penetapan Pengadilan.  Risiko Penundaan: Petugas loket berhak menunda permohonan Anda untuk penelitian lebih lanjut jika perbedaan data dianggap meragukan.
Paspor Anda dianggap RUSAK (dan harus melalui jalur BAP) jika terdapat kondisi berikut:	Halaman biodata/foto tidak terbaca jelas atau terkelupas.  Ada coretan pulpen/spidol di halaman manapun.  Terkena air (lembab, berjamur, atau halaman lengket).  Sampul atau jahitan buku terlepas.  Instruksi: "Jika paspor Anda mengalami salah satu hal di atas, silahkan klik 'Berikutnya' dan pilih opsi 'Hilang/Rusak'.   
Untuk layanan Penggantian Paspor, silakan siapkan dokumen berikut (Asli & Fotokopi A4):	KTP Elektronik Paspor Lama      Catatan Penting: Apabila saat pemeriksaan di loket ditemukan perbedaan data antara KTP dan Paspor Lama, petugas berhak meminta dokumen tambahan (KK/Akta Kelahiran/Ijazah). Disarankan tetap membawa dokumen lengkap untuk berjaga-jaga.
FORMULIR PERSYARATAN PEMBUATAN PASPOR (in general)	https://drive.google.com/drive/folders/1neE7ndKq6HvCNP9iZiUIpx8jzZtdaDlp
FORMULIR SURAT PERNYATAAN ORTU PERSYARATAN UNTUK PASPOR ANAK	https://docs.google.com/document/d/13HAgAqMdHSYEoytE2HR7Zd6uw-Oz83m2/edit?usp=drive_link&ouid=109020029954538867996&rtpof=true&sd=true
FORMULIR SURAT PERNYATAAN PENAMBAHAN NAMA UNTUK PEMOHON YANG INGIN PENAMBAHAN NAMA (ENDORSEMENT)	https://docs.google.com/document/d/1MnIb5c7kHhkfusIkQZLV992sxDqjI7ZX/edit?usp=drive_link&ouid=109020029954538867996&rtpof=true&sd=true
paspor anak, bayi, anak, balita, dibawah umur, di bawah umur?	👶 *Paspor untuk Anak (di bawah 17 tahun):*\n✅ KTP kedua orang tua.\n✅ Kartu Keluarga.\n✅ Akta Kelahiran anak.\n✅ Buku Nikah orang tua.\n✅ Paspor orang tua (jika ada).\n\n*Penting:* Kedua orang tua wajib hadir saat wawancara. Informasi ini berdasarkan UU No. 6 Tahun 2011 tentang Keimigrasian & Peraturan Pemerintah No. 28 Tahun 2019. Data dapat berubah sewaktu-waktu sesuai kebijakan terbaru.
paspor baru 10 th, masa berlaku 10 th, 10 tahun?	📅 *Paspor Masa Berlaku 10 Tahun:*\nSesuai Peraturan Menteri Hukum dan HAM No. 18 Tahun 2022, paspor RI dengan masa berlaku paling lama 10 tahun diberikan kepada WNI yang telah berusia 17 tahun atau sudah menikah.\n\n• Biaya tetap mulai dari Rp 350.000 (Non-Elektronik) atau Rp 650.000 (Elektronik). Informasi ini berdasarkan UU No. 6 Tahun 2011 tentang Keimigrasian & Peraturan Pemerintah No. 28 Tahun 2019. Data dapat berubah sewaktu-waktu sesuai kebijakan terbaru.
apakah bisa bikin paspor tanpa ktp, tidak punya ktp, ktp hilang bikin paspor	❌ Tidak bisa. KTP adalah dokumen wajib untuk pembuatan paspor. Silakan urus KTP terlebih dahulu di Disdukcapil
paspor bisa dikirim, kirim paspor ke rumah, delivery paspor	📦 Pengiriman paspor tergantung kebijakan kantor imigrasi. Biasanya paspor diambil langsung, namun beberapa kantor menyediakan layanan pengiriman via pos.
boleh pakai fotokopi saja, dokumen fotokopi, apakah harus asli	📄 Wajib membawa dokumen asli. Fotokopi hanya sebagai pelengkap, bukan pengganti.
telat datang imigrasi, terlambat jadwal paspor, tidak datang sesuai jadwal	⏰ Jika terlambat, Anda berisiko tidak dilayani dan harus reschedule atau daftar ulang melalui M-Paspor.
bisa datang lebih cepat dari jadwal, datang sebelum jam, antrian lebih awal	📌 Disarankan datang sesuai jadwal. Datang terlalu awal belum tentu langsung dilayani.
bisa daftar langsung ke kantor imigrasi, tanpa aplikasi, offline daftar paspor	❌ Tidak bisa (umumnya). Pendaftaran wajib melalui aplikasi M-Paspor, kecuali kondisi khusus (prioritas/walk-in tertentu).
berapa lama wawancara paspor, proses wawancara lama	⏳ Wawancara biasanya berlangsung sekitar 5–10 menit tergantung kondisi.
apakah boleh diwakilkan saat wawancara, bisa diwakilkan bikin paspor	❌ Tidak bisa. Pemohon wajib hadir sendiri untuk biometrik & wawancara.
apakah bisa ganti foto paspor, foto paspor ulang	📸 Tidak bisa memilih atau mengganti foto sendiri. Foto diambil langsung oleh petugas imigrasi.
pakaian saat foto paspor, baju paspor, dresscode paspor	👕 Gunakan pakaian rapi dan sopan. Hindari warna putih polos (karena background putih).
apakah paspor bisa dipercepat tanpa bayar, gratis percepatan	❌ Tidak bisa. Layanan percepatan dikenakan biaya tambahan Rp1.000.000.
paspor expired apakah masih bisa dipakai, paspor kadaluarsa	❌ Tidak bisa digunakan. Paspor harus masih berlaku minimal 6 bulan untuk perjalanan internasional.
apakah bisa ubah data di paspor, revisi nama paspor, perubahan data	📄 Bisa, tetapi harus melalui prosedur perubahan data dengan dokumen pendukung resmi.
apakah paspor bisa dipakai untuk umroh tanpa endorsement	⚠️ Tidak disarankan. Biasanya diperlukan endorsement (penambahan nama) sesuai ketentuan travel/kemenag.
apakah anak harus hadir saat buat paspor	👶 Ya, anak wajib hadir untuk foto & biometrik.
paspor lama hilang tapi ada fotokopi	📄 Tetap dianggap hilang. Harus mengikuti prosedur paspor hilang dan tetap dikenakan denda.
Apakah bisa memilih kantor imigrasi lain setelah daftar?	❌ Tidak bisa. Harus sesuai kantor yang dipilih saat pendaftaran di M-Paspor.
Apakah wajib punya paspor untuk ke luar negeri?	✅ Ya, paspor adalah dokumen wajib untuk perjalanan internasional.
Apakah paspor bisa hangus jika tidak diambil?	⚠️ Bisa. Jika tidak diambil dalam waktu tertentu, paspor dapat dibatalkan sesuai kebijakan.
Apakah bisa memperpanjang paspor sebelum habis masa berlaku?	✅ Bisa. Disarankan perpanjangan dilakukan sebelum masa berlaku habis.
Berapa minimal sisa masa berlaku paspor untuk bepergian?	📅 Minimal 6 bulan sebelum tanggal keberangkatan.
Apakah bisa membuat paspor untuk lansia?	👴 Bisa. Lansia termasuk kategori prioritas pelayanan.
Apakah bisa membuat paspor tanpa KK?	❌ Tidak bisa. KK merupakan salah satu dokumen wajib.
Apakah paspor bisa digunakan sebagai KTP?	❌ Tidak bisa. Paspor hanya untuk identitas perjalanan internasional.
Apakah bisa membuat paspor jika belum menikah?	✅ Bisa. Status pernikahan tidak mempengaruhi pembuatan paspor.
Apakah bisa membuat paspor untuk bayi baru lahir?, Untuk layanan Paspor Anak, silakan siapkan dokumen berikut (Asli & Fotokopi A4):, paspor anak, bayi, anak, balita, dibawah umur, di bawah umur?	👶 Bisa, selama dokumen persyaratan lengkap.
Apakah bisa menggunakan paspor lama yang masih berlaku setelah buat baru?	❌ Tidak bisa. Paspor lama akan dinonaktifkan.
Apakah paspor bisa ditolak?	⚠️ Bisa. Jika data tidak lengkap, tidak valid, atau tidak memenuhi syarat.
Apakah bisa mempercepat proses tanpa antrian?	❌ Tidak bisa, kecuali menggunakan layanan percepatan resmi.
Apakah bisa membuat paspor untuk keperluan kerja di luar negeri?	✅ Bisa, namun biasanya diperlukan dokumen tambahan sesuai ketentuan.
SYARAT TAMBAHAN BERKAS PEMBUATAN PASPOR DENGAN TUJUAN UNTUK UMROH ADALAH	SURAT REKOMENDASI KEMENAG/TRAVEL UMROH DAN SURAT PENAMBAHAN NAMA: DENGAN MENAMBAH NAMA MENJADI 2 SUKU KATA (MISAL: Malik Amrullah)
SYARAT TAMBAHAN BERKAS PEMBUATAN PASPOR DENGAN TUJUAN UNTUK HAJI ADALAH	SURAT Biaya Penyelenggaraan Ibadah Haji (BPIH) DAN SURAT PENAMBAHAN NAMA: DENGAN MENAMBAH NAMA MENJADI 3 SUKU KATA (MISAL: Malik Amrullah Ambo)
Apakah bisa membuat paspor tanpa travel umroh?, paspor tanpa travel umroh, bikin paspor sendiri umroh, paspor tanpa agen	✅ Bisa, namun untuk keberangkatan tetap memerlukan travel resmi.
Apakah anak bisa ikut umroh harus punya paspor sendiri?, paspor anak umroh, bayi umroh paspor, anak ikut haji paspor	👶 Ya, setiap individu wajib memiliki paspor masing-masing.
Apakah paspor harus sesuai dengan data di Kemenag?, data paspor harus sama kemenag, sinkron data haji paspor, data tidak cocok paspor	✅ Ya, data harus konsisten untuk menghindari kendala keberangkatan.
Paspor itu berlaku selamanya?, Pasport buat selamanya?, Paspor buat selamanya?	tidak, paspor memiliki masa berlaku yang terbatas, ada yang 5 tahun dan 10 tahun. tentu saja harganya juga berbeda
Berapa lama paspor jadi setelah foto?	Paspor selesai dalam waktu 4 hari kerja setelah foto, wawancara, dan pembayaran terkonfirmasi di sistem.
Bisakah ganti data di paspor?	Ganti data (nama/lahir) harus melampirkan penetapan pengadilan atau surat resmi Disdukcapil. Silakan konsultasi di bagian Informasi.
Ganti Paspor karena habis masa berlaku	Cukup bawa E-KTP (Asli) dan Paspor Lama (Asli) saja (terbitan 2009 ke atas dan data sesuai).
Syarat Paspor untuk Umroh	Syarat sama (E-KTP, KK, Akta Lahir/Buku Nikah). Disarankan bawa Surat Rekomendasi Travel Umroh resmi Kemenag.
Bisakah ambil paspor lewat Grab/Gojek?	Bisa jika ada Surat Kuasa bermaterai 10.000 dan fotokopi KTP pemberi & penerima kuasa.
Layanan Paspor Simpatik (Akhir Pekan)	Dibuka pada momen tertentu. Pantau Instagram @imigrasi.pangkalpinang untuk jadwalnya.
Syarat Paspor untuk Pekerja Migran (PMI)	Syarat umum + Surat Rekomendasi dari Dinas Tenaga Kerja (Disnaker).
Ketentuan Foto Paspor (Baju & Rambut)	Pakai baju berkerah (bukan kaos) & tidak putih. Rambut rapi & telinga terlihat jelas (jika tidak berhijab).
Syarat Paspor bagi Lansia/Disabilitas	Lansia (60+) dan disabilitas dapat layanan prioritas tanpa antre lama. Syarat sama dengan umum.
Status paspor Ajudikasi artinya apa?	Menunggu verifikasi akhir oleh sistem pusat. Proses total biasanya 4 hari kerja.
